sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA2804136,True,True,False
SAMEA2804137,True,True,False
SAMEA2804138,True,True,False
SAMEA2804139,True,True,False
SAMEA2804140,True,True,False
SAMEA2804141,True,True,False
SAMEA2804142,True,True,False
SAMEA2804143,True,True,False
SAMEA2804144,True,True,False
SAMEA2804145,True,True,False
SAMEA2804146,True,True,False
SAMEA2804147,True,True,False
SAMEA2804148,True,True,False
SAMEA2804149,True,True,False
SAMEA2804150,True,True,False
SAMEA2804151,True,True,False
SAMEA2804152,True,True,False
SAMEA2804153,True,True,False
SAMEA2804154,True,True,False
SAMN13336156,True,True,False
SAMN21555489,True,True,False
SAMN21555503,True,True,False
SAMN22658985,True,True,False
SAMN22658987,True,True,False
SAMN22658989,True,True,False
SAMN22658991,True,True,False
SAMN22658993,True,True,False
SAMN22658995,True,True,False
SAMN22658997,True,True,False
SAMN22658999,True,True,False
SAMN22659001,True,True,False
SAMN22659003,True,True,False
SAMN22659005,True,True,False
SAMN22659007,True,True,False
SAMN22659009,True,True,False
SAMN22659011,True,True,False
SAMN22659013,True,True,False
SAMN22659015,True,True,False
SAMN22659017,True,True,False
SAMN23133684,True,True,False
SAMN23133688,True,True,False
SAMN23133692,True,True,False
SAMN23133696,True,True,False
SAMN23133700,True,True,False
SAMN23133704,True,True,False
SAMN23133708,True,True,False
SAMN23133712,True,True,False
SAMN23133716,True,True,False
SAMN23133720,True,True,False
SAMN23133724,True,True,False
SAMN32329513,True,True,False
SAMN32329514,True,True,False
SAMN32329515,True,True,False
SAMN43196228,True,True,False
SAMN43196241,True,True,False
SAMN43196250,True,True,False
SAMN43196271,True,True,False
SAMN43196286,True,True,False
SAMN43196293,True,True,False
SAMN43196312,True,True,False
