srr_id,in_sample_list,in_any_reference
ERR1141671,1,0
ERR1141672,1,0
ERR1141673,1,0
ERR1141674,1,0
ERR1141675,1,0
ERR1141676,1,0
ERR1141677,1,0
ERR1141678,1,0
ERR1141679,1,0
ERR1141680,1,0
ERR1141681,1,0
ERR1141682,1,0
ERR1141683,1,0
ERR1141684,1,0
ERR1141685,1,0
ERR1141686,1,0
ERR1141687,1,0
ERR1141688,1,0
ERR1141689,1,0
ERR1141691,1,0
ERR1141693,1,0
ERR1141694,1,0
ERR1141695,1,0
ERR1141696,1,0
ERR1141698,1,0
ERR1141701,1,0
ERR1141702,1,0
ERR3728072,1,0
ERR3728073,1,0
ERR3728074,1,0
SRR17658172,1,0
SRR17658173,1,0
SRR17658174,1,0
SRR17658175,1,0
SRR17658176,1,0
SRR17658177,1,0
SRR17658178,1,0
SRR17658179,1,0
SRR17658180,1,0
SRR17658181,1,0
SRR17658182,1,0
SRR17658183,1,0
SRR17658184,1,0
SRR17658185,1,0
SRR17658186,1,0
SRR17658187,1,0
SRR17658188,1,0
SRR17658189,1,0
SRR17658190,1,0
SRR17658191,1,0
SRR17658192,1,0
SRR17658193,1,0
SRR17658194,1,0
SRR17658195,1,0
SRR17658196,1,0
SRR17658197,1,0
SRR17658198,1,0
SRR17658199,1,0
SRR17658200,1,0
SRR17658201,1,0
SRR17658202,1,0
SRR17658203,1,0
SRR17658204,1,0
SRR17658205,1,0
SRR17658206,1,0
SRR17658207,1,0
SRR17658208,1,0
SRR17658209,1,0
SRR17658210,1,0
SRR17658211,1,0
SRR17658212,1,0
SRR17658213,1,0
SRR17658214,1,0
SRR17658215,1,0
SRR17658216,1,0
SRR17658217,1,0
SRR27477615,1,0
SRR27477616,1,0
SRR27477617,1,0
SRR27477618,1,0
SRR27477619,1,0
SRR27477620,1,0
SRR27477621,1,0
SRR27477622,1,0
SRR27477623,1,0
SRR27477624,1,0
SRR27477625,1,0
SRR27477626,1,0
SRR27477627,1,0
SRR27477628,1,0
SRR27477629,1,0
SRR27477630,1,0
SRR27477631,1,0
SRR27477632,1,0
SRR27477633,1,0
SRR27477634,1,0
SRR27477635,1,0
SRR27477636,1,0
SRR27477637,1,0
SRR27477638,1,0
SRR27477639,1,0
SRR27477640,1,0
SRR27477641,1,0
SRR27477642,1,0
SRR27477643,1,0
SRR27477644,1,0
SRR27477645,1,0
SRR27477646,1,0
SRR27477647,1,0
SRR27477648,1,0
SRR27477649,1,0
SRR27477650,1,0
SRR27477651,1,0
SRR27477652,1,0
SRR27477653,1,0
SRR27477654,1,0
SRR27477655,1,0
SRR27477656,1,0
SRR27477657,1,0
SRR27477658,1,0
SRR27477659,1,0
SRR27477660,1,0
SRR27477661,1,0
SRR27477662,1,0
SRR27477663,1,0
SRR27477664,1,0
SRR27477665,1,0
SRR27477666,1,0
SRR27477667,1,0
SRR27477668,1,0
SRR27477669,1,0
SRR27477670,1,0
SRR27477671,1,0
SRR27477672,1,0
SRR27477673,1,0
SRR27477674,1,0
SRR27477675,1,0
SRR27477676,1,0
SRR27477677,1,0
SRR27477678,1,0
SRR27477679,1,0
SRR27477680,1,0
SRR27477681,1,0
SRR27477682,1,0
SRR27477683,1,0
SRR27477684,1,0
SRR27477685,1,0
SRR27477686,1,0
SRR27477687,1,0
SRR27477688,1,0
SRR27477689,1,0
SRR27477690,1,0
SRR27477691,1,0
SRR27477692,1,0
SRR27477693,1,0
SRR27477694,1,0
SRR27477695,1,0
SRR27477696,1,0
SRR27477697,1,0
SRR27477698,1,0
SRR27477699,1,0
SRR27477700,1,0
SRR27477701,1,0
SRR27477702,1,0
SRR27477703,1,0
SRR27477704,1,0
SRR27477705,1,0
SRR27477706,1,0
SRR27477707,1,0
SRR27477708,1,0
SRR27477709,1,0
SRR27477710,1,0
SRR27477711,1,0
SRR27477712,1,0
SRR27477713,1,0
SRR27477714,1,0
SRR27477715,1,0
SRR27477716,1,0
SRR27477717,1,0
SRR27477718,1,0
SRR27477719,1,0
SRR27477720,1,0
SRR27477721,1,0
SRR27477722,1,0
SRR27477723,1,0
SRR27477724,1,0
SRR27477725,1,0
SRR27477726,1,0
SRR27477727,1,0
SRR27477728,1,0
SRR27477729,1,0
SRR27477730,1,0
SRR27477731,1,0
SRR27477732,1,0
SRR27477733,1,0
SRR27477734,1,0
SRR27477735,1,0
SRR27477736,1,0
SRR27477737,1,0
SRR27477738,1,0
SRR27477739,1,0
SRR27477740,1,0
SRR27477741,1,0
SRR27477742,1,0
SRR27477743,1,0
SRR27477744,1,0
SRR27477745,1,0
SRR27477746,1,0
SRR27477747,1,0
SRR27477748,1,0
SRR27477749,1,0
SRR27477750,1,0
SRR27477751,1,0
