srr_id,in_sample_list,in_RenalPelvis_SRA,in_any_reference
SRR11196339,0,1,1
SRR11196341,0,1,1
SRR11196345,0,1,1
SRR11196346,0,1,1
SRR24048108,1,1,1
SRR24048109,1,1,1
SRR24048118,1,1,1
SRR24048125,1,1,1
SRR24048143,1,1,1
SRR24048922,1,1,1
SRR26333221,1,1,1
SRR26333222,1,1,1
SRR26333223,1,1,1
SRR26333224,1,1,1
SRR26333225,1,1,1
SRR26333229,1,1,1
SRR26333230,1,1,1
SRR26333231,1,1,1
SRR26333233,1,1,1
SRR26333234,1,1,1
SRR26333235,1,1,1
SRR26333236,1,1,1
SRR26333237,1,1,1
SRR26333238,1,1,1
SRR26333239,1,1,1
SRR26333240,1,1,1
SRR26333241,1,1,1
SRR26333242,1,1,1
SRR26333243,1,1,1
SRR26333244,1,1,1
SRR26333245,1,1,1
SRR26333246,1,1,1
SRR26333249,1,1,1
SRR26333256,1,1,1
SRR26333260,1,1,1
SRR26333261,1,1,1
SRR26333263,1,1,1
SRR26333264,1,1,1
SRR26333266,1,1,1
SRR26333270,1,1,1
SRR26333271,1,1,1
SRR26333272,1,1,1
SRR26333273,1,1,1
SRR26333274,1,1,1
SRR26333275,1,1,1
SRR26333276,1,1,1
SRR26333277,1,1,1
SRR26333278,1,1,1
SRR26333279,1,1,1
SRR26333280,1,1,1
SRR26333281,1,1,1
SRR26333282,1,1,1
SRR26333283,1,1,1
SRR26333284,1,1,1
SRR26333286,1,1,1
SRR26333291,1,1,1
SRR26333293,1,1,1
SRR26333294,1,1,1
SRR26333297,1,1,1
SRR26333298,1,1,1
SRR26333299,1,1,1
SRR26333305,1,1,1
SRR26333306,1,1,1
SRR32686225,1,1,1
SRR32686228,1,1,1
SRR8762523,1,1,1
SRR8762607,1,1,1
SRR8763049,1,1,1
